PROJECT,DATE,SITE,SAMPLE,SAMPLE_DESCRIPTOR,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE
LTREB,9/22/2021,BN,3,EPIL,25.11754689,188.1097668,18.80735221,39.80242826
LTREB,9/22/2021,BN,4,EPIL,23.59994805,158.5762177,34.90477331,93.64613591
LTREB,9/22/2021,BN,5,EPIL,18.31407413,103.7626054,31.22138087,57.33052684
LTREB,10/13/2021,DL,1,EPIL,13.05392222,57.97975843,21.04224449,29.23905893
LTREB,10/13/2021,DL,2,EPIL,10.46885979,54.46402676,16.23538463,29.41106761
LTREB,10/13/2021,DL,3,EPIL,8.835511887,49.0004371,12.67838081,12.63536306
LTREB,10/13/2021,DL,4,EPIL,11.88590894,81.88953984,13.51574929,19.07079063
LTREB,10/13/2021,DL,5,EPIL,11.01019127,92.85764054,13.29769676,31.15483992
LTREB,10/13/2021,GR,1,EPIL,31.03477935,166.8470145,59.71248685,87.56734674
LTREB,10/13/2021,GR,2,EPIL,37.93412507,190.9228198,95.3140929,133.2768395
LTREB,10/13/2021,GR,3,EPIL,36.7123294,204.0807992,29.39324717,89.03865217
LTREB,10/13/2021,GR,4,EPIL,13.46079772,68.08383329,25.87389103,42.69271022
LTREB,10/13/2021,GR,5,EPIL,10.55070256,60.87231585,24.07580532,75.31746531
LTREB,10/13/2021,GC,1,EPIL,25.58989661,109.4986146,27.53050566,70.34833361
LTREB,10/13/2021,GC,2,EPIL,28.88465279,113.3288563,28.88991412,56.97233803
LTREB,10/13/2021,GC,3,EPIL,6.419980915,24.46748144,7.014276362,4.48483131
LTREB,10/13/2021,GC,4,EPIL,1.419621349,6.052389948,3.416818835,4.671546666
LTREB,10/13/2021,GC,5,EPIL,25.25434124,84.88264695,26.81870738,72.42824198
LTREB,10/13/2021,BN,1,EPIL,25.41218087,178.4172441,25.93597462,39.87935591
LTREB,10/13/2021,BN,2,EPIL,2.82240647,26.62602611,2.187563775,4.722074649
LTREB,10/13/2021,BN,3,EPIL,10.51679627,68.543322,25.64134064,84.89661038
LTREB,10/13/2021,BN,4,EPIL,32.51496435,174.7810867,38.23402038,85.72542571
LTREB,10/13/2021,BN,5,EPIL,32.3582939,163.2833463,37.53356316,55.58283687
LTREB,6/22/2021,BG,4,EPIP,1.199581209,8.397068463,2.096110323,1.445260491
LTREB,6/22/2021,BN,1,EPIP,7.099275927,71.26284042,8.152592409,4.866447159
LTREB,6/22/2021,BN,5,EPIP,3.633819101,32.05547564,5.714613134,2.739832549
LTREB,6/22/2021,BG,5,EPIP,0.289957251,1.973580001,0.544184286,0.502865004
LTREB,6/22/2021,BN,2,EPIP,0.409213863,2.952185724,1.404772732,1.10495518
LTREB,6/22/2021,BN,3,EPIP,6.842055784,51.39258443,9.38339079,5.393891465
LTREB,6/22/2021,BN,4,EPIP,-0.212791209,30.64193404,1.276092509,0.940810006
LTREB,7/7/2021,BG,3,EPIP,NA,NA,6.69432958,8.958626415
LTREB,7/7/2021,BN,2,EPIP,3.167315297,18.60169302,3.665036273,5.353901578
LTREB,7/7/2021,BN,3,EPIP,2.095174977,10.08302958,2.383261536,3.476039143
LTREB,7/7/2021,GC,2,EPIP,0.671110735,3.642003378,1.005029247,1.686672655
LTREB,7/7/2021,GC,3,EPIP,1.431663928,6.940851703,2.310596846,3.338346336
LTREB,7/7/2021,GC,4,EPIP,1.980595096,6.764889742,2.500179783,1.958782827
LTREB,7/7/2021,GC,5,EPIP,1.139952903,7.485690731,1.713729198,1.522184887
LTREB,7/7/2021,BG,1,EPIP,0.434935877,2.862158674,0.621888153,0.971689962
LTREB,7/7/2021,BG,2,EPIP,6.705261436,71.46510898,4.587696615,5.205833469
LTREB,7/7/2021,BG,4,EPIP,2.857481944,23.39183357,2.897000311,4.192428199
LTREB,7/7/2021,BN,1,EPIP,2.554663686,14.70948459,3.877710563,4.26654409
LTREB,7/7/2021,BN,4,EPIP,1.277331843,5.270674552,1.940199841,5.128841103
LTREB,7/7/2021,BN,5,EPIP,2.934647987,22.64706434,2.472820913,2.639292036
LTREB,7/20/2021,BN,2,EPIP,23.81624681,151.9820286,18.90217291,49.12163093
LTREB,7/20/2021,BG,2,EPIP,51.98419075,333.4227786,23.54873786,51.83375233
LTREB,7/20/2021,BG,3,EPIP,42.79207821,301.912142,30.44551139,65.16901523
LTREB,7/20/2021,BG,4,EPIP,25.36190603,158.2067561,23.89037298,66.12591924
LTREB,7/20/2021,BG,5,EPIP,42.23087063,336.783009,31.67315297,108.0073398
LTREB,7/20/2021,BN,1,EPIP,15.62612364,104.4828218,17.52054999,58.97542985
LTREB,7/20/2021,WS,3,EPIP,0.253879621,0.290625356,0.781247723,3.689081835
LTREB,7/20/2021,GC,3,EPIP,2.507896387,13.64435937,4.612424824,6.275363391
