,PROJECT,DATE,SITE,SAMPLE,SUBSTRATE,AVERAGE.DEPTH,EPIL.OM.AREA.g.m2,EPIL.ASH.AREA.g.m2,EPIL.CHL.TOTAL.MG.M2.RITCHIE,PHICOCYANIN.MG.M2
256,LTREB,6/22/2021,WS,5,EPIP,14.5,NA,NA,NA,11.51153671
257,LTREB,6/22/2021,DL,1,EPIP,14.625,NA,NA,NA,40.29119692
258,LTREB,6/22/2021,DL,2,EPIP,17,NA,NA,NA,60.69518471
259,LTREB,6/22/2021,DL,3,EPIP,24.375,NA,NA,NA,18.26730683
260,LTREB,6/22/2021,DL,4,EPIP,16.75,NA,NA,NA,19.02026034
261,LTREB,6/22/2021,DL,5,EPIP,17,NA,NA,NA,16.14851437
262,LTREB,6/22/2021,GR,1,EPIP,22.25,NA,NA,NA,31.88202742
263,LTREB,6/22/2021,GR,2,EPIP,33,NA,NA,NA,60.44088752
264,LTREB,6/22/2021,GR,3,EPIP,31.5,NA,NA,NA,6.958272521
265,LTREB,6/22/2021,GR,4,EPIP,18.25,NA,NA,NA,4.998956547
266,LTREB,6/22/2021,GR,5,EPIP,36.25,NA,NA,NA,48.55030185
267,LTREB,6/22/2021,GC,2,EPIP,9.8125,NA,NA,NA,32.08657589
268,LTREB,6/22/2021,GC,3,EPIP,14.8125,NA,NA,NA,28.32180836
269,LTREB,6/22/2021,GC,4,EPIP,9,NA,NA,NA,28.89517544
270,LTREB,6/22/2021,GC,5,EPIP,14.25,NA,NA,NA,27.97152129
271,LTREB,6/22/2021,BG,5,EPIP,7,0.289957251,1.973580001,0.502865004,9.821132705
272,LTREB,6/22/2021,BN,2,EPIP,9.4375,0.409213863,2.952185724,1.10495518,21.87867763
273,LTREB,6/22/2021,BN,3,EPIP,13.5,6.842055784,51.39258443,5.393891465,14.75215975
274,LTREB,6/22/2021,BN,4,EPIP,12.875,-0.212791209,30.64193404,0.940810006,16.87305674
35,LTREB,7/7/2021,WS,1,EPIP,30.75,NA,NA,NA,5.66819659
36,LTREB,7/7/2021,WS,4,EPIP,33.25,NA,NA,NA,11.57022967
37,LTREB,7/7/2021,BG,3,EPIP,7,NA,NA,8.958626415,25.680859
38,LTREB,7/7/2021,BN,2,EPIP,15.875,3.167315297,18.60169302,5.353901578,16.19083877
39,LTREB,7/7/2021,BN,3,EPIP,6.8125,2.095174977,10.08302958,3.476039143,8.630144987
275,LTREB,7/7/2021,WS,2,EPIP,27.75,NA,NA,NA,10.04035442
276,LTREB,7/7/2021,WS,3,EPIP,37.125,NA,NA,NA,2.020627903
277,LTREB,7/7/2021,WS,5,EPIP,36.75,NA,NA,NA,15.80383938
278,LTREB,7/7/2021,DL,1,EPIP,8.5,NA,NA,NA,8.960614411
279,LTREB,7/7/2021,DL,2,EPIP,31.5,NA,NA,NA,11.85141806
280,LTREB,7/7/2021,DL,3,EPIP,29.5,NA,NA,NA,11.8497812
281,LTREB,7/7/2021,DL,4,EPIP,11,NA,NA,NA,12.98762957
282,LTREB,7/7/2021,DL,5,EPIP,16.5,NA,NA,NA,16.70247302
283,LTREB,7/7/2021,GR,1,EPIP,12.125,NA,NA,NA,29.40610817
284,LTREB,7/7/2021,GR,2,EPIP,22.75,NA,NA,NA,12.90426686
285,LTREB,7/7/2021,GR,3,EPIP,23.25,NA,NA,NA,19.76678334
286,LTREB,7/7/2021,GR,4,EPIP,28.75,NA,NA,NA,27.4852583
